step_index,time_fs,time_ps,dt_fs,tol,lang_damp_fs,baro_pdamp_fs,force_metric_D
1,0.1,0.0001,0.1,1e-06,nan,nan,687.0469326738817
2,0.2,0.0002,0.1,1e-06,nan,nan,2154.4086451113258
3,0.30000000000000004,0.00030000000000000003,0.1,1e-06,nan,nan,2172.8472096558885
4,0.4,0.0004,0.1,1e-06,nan,nan,2164.69614946499
5,0.5,0.0005,0.1,1e-06,nan,nan,2134.7353366517855
6,0.6,0.0006,0.1,1e-06,nan,nan,2202.4835536409196
7,0.7,0.0007,0.1,1e-06,nan,nan,2208.8743441112483
8,0.7999999999999999,0.0007999999999999999,0.1,1e-06,nan,nan,2194.142941503453
9,0.8999999999999999,0.0008999999999999999,0.1,1e-06,nan,nan,2257.9188980738527
10,0.9999999999999999,0.0009999999999999998,0.1,1e-06,nan,nan,2293.3175503852726
11,1.0999999999999999,0.0010999999999999998,0.1,1e-06,nan,nan,2281.5924113633428
12,1.2,0.0012,0.1,1e-06,nan,nan,2286.593511637085
13,1.3,0.0013,0.1,1e-06,nan,nan,2303.606042857523
14,1.4000000000000001,0.0014000000000000002,0.1,1e-06,nan,nan,2328.450407890062
15,1.5000000000000002,0.0015000000000000002,0.1,1e-06,nan,nan,2356.763056505421
16,1.6000000000000003,0.0016000000000000003,0.1,1e-06,nan,nan,2396.5767816103566
17,1.7000000000000004,0.0017000000000000003,0.1,1e-06,nan,nan,2377.9581471634024
18,1.8000000000000005,0.0018000000000000004,0.1,1e-06,nan,nan,2410.523479990943
19,1.9000000000000006,0.0019000000000000006,0.1,1e-06,nan,nan,2396.338897472426
20,2.0000000000000004,0.0020000000000000005,0.1,1e-06,nan,nan,2402.7653161065455
21,2.1000000000000005,0.0021000000000000007,0.1,1e-06,nan,nan,2419.06272160102
22,2.2000000000000006,0.0022000000000000006,0.1,1e-06,nan,nan,2491.631830566291
23,2.3000000000000007,0.002300000000000001,0.1,1e-06,nan,nan,2445.305820127597
24,2.400000000000001,0.0024000000000000007,0.1,1e-06,nan,nan,2500.57797038261
25,2.500000000000001,0.002500000000000001,0.1,1e-06,nan,nan,2526.4053311630955
26,2.600000000000001,0.002600000000000001,0.1,1e-06,nan,nan,2463.386574998614
27,2.700000000000001,0.002700000000000001,0.1,1e-06,nan,nan,2467.226795847518
28,2.800000000000001,0.0028000000000000013,0.1,1e-06,nan,nan,2530.6487766486284
29,2.9000000000000012,0.002900000000000001,0.1,1e-06,nan,nan,2476.958780457569
30,3.0000000000000013,0.0030000000000000014,0.1,1e-06,nan,nan,2518.559075343337
31,3.1000000000000014,0.0031000000000000016,0.1,1e-06,nan,nan,2497.6538604542707
32,3.2000000000000015,0.0032000000000000015,0.1,1e-06,nan,nan,2468.7234598890104
33,3.3000000000000016,0.0033000000000000017,0.1,1e-06,nan,nan,2439.9362928730584
34,3.4000000000000017,0.0034000000000000015,0.1,1e-06,nan,nan,2455.11050295675
35,3.5000000000000018,0.003500000000000002,0.1,1e-06,nan,nan,2415.260037257031
36,3.600000000000002,0.003600000000000002,0.1,1e-06,nan,nan,2413.682971091564
37,3.700000000000002,0.003700000000000002,0.1,1e-06,nan,nan,2419.459113309901
38,3.800000000000002,0.003800000000000002,0.1,1e-06,nan,nan,2411.84507416699
39,3.900000000000002,0.003900000000000002,0.1,1e-06,nan,nan,2418.44428833526
40,4.000000000000002,0.004000000000000002,0.1,1e-06,nan,nan,2346.9553517617683
41,4.100000000000001,0.004100000000000001,0.1,1e-06,nan,nan,2367.1450220550046
42,4.200000000000001,0.0042000000000000015,0.1,1e-06,nan,nan,2380.847739560657
43,4.300000000000001,0.004300000000000001,0.1,1e-06,nan,nan,2385.0244344407106
44,4.4,0.0044,0.1,1e-06,nan,nan,2338.1576230378632
45,4.5,0.0045,0.1,1e-06,nan,nan,2326.651144529565
46,4.6,0.0046,0.1,1e-06,nan,nan,2310.581881047861
47,4.699999999999999,0.004699999999999999,0.1,1e-06,nan,nan,2326.995972575275
48,4.799999999999999,0.004799999999999999,0.1,1e-06,nan,nan,2299.3850672856697
49,4.899999999999999,0.004899999999999999,0.1,1e-06,nan,nan,2264.6293672254224
50,4.999999999999998,0.004999999999999998,0.1,1e-06,nan,nan,2289.1772373912177
51,5.099999999999998,0.005099999999999998,0.1,1e-06,nan,nan,2325.8313711358237
52,5.1999999999999975,0.005199999999999997,0.1,1e-06,nan,nan,2298.7458716306305
53,5.299999999999997,0.005299999999999997,0.1,1e-06,nan,nan,2285.4686956915843
54,5.399999999999997,0.005399999999999997,0.1,1e-06,nan,nan,2310.6736191001887
55,5.4999999999999964,0.005499999999999996,0.1,1e-06,nan,nan,2310.1678152330433
56,5.599999999999996,0.0055999999999999965,0.1,1e-06,nan,nan,2299.5389329184154
57,5.699999999999996,0.005699999999999996,0.1,1e-06,nan,nan,2284.1128369551584
58,5.799999999999995,0.005799999999999995,0.1,1e-06,nan,nan,2305.230183860187
59,5.899999999999995,0.005899999999999995,0.1,1e-06,nan,nan,2300.7769471434995
60,5.999999999999995,0.005999999999999995,0.1,1e-06,nan,nan,2335.940793893536
61,6.099999999999994,0.006099999999999994,0.1,1e-06,nan,nan,2339.8963369801336
62,6.199999999999994,0.006199999999999994,0.1,1e-06,nan,nan,2354.4561041937327
63,6.299999999999994,0.006299999999999994,0.1,1e-06,nan,nan,2335.2542579376027
64,6.399999999999993,0.006399999999999993,0.1,1e-06,nan,nan,2380.628993218583
65,6.499999999999993,0.006499999999999993,0.1,1e-06,nan,nan,2341.0688266719567
